judet,localitate,tip artera,denumire artera,numar,codpostal,sector
Bucuresti,Bucuresti,Şosea,"Kiseleff Pavel Dimitrievici, g-ral.",nr. 2-4,11345,1
Bucuresti,Bucuresti,Stradă,Delavrancea Barbu,nr. 1-15,11351,1
Bucuresti,Bucuresti,Stradă,Delavrancea Barbu,nr. 2,11354,1
Bucuresti,Bucuresti,Stradă,"Mincu Ion, arh.",nr. 1-19,11356,1
Bucuresti,Bucuresti,Stradă,"Mincu Ion, arh.",nr. 2-12,11358,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 73-91,11134,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 93-117,11135,1
Bucuresti,Bucuresti,Stradă,"Caracaş Constantin, medic",nr. 1-T,11154,1
Bucuresti,Bucuresti,Stradă,"Caracaş Constantin, medic",nr. 2-T,11155,1
Bucuresti,Bucuresti,Intrare,Verde,,11156,1
Bucuresti,Bucuresti,Stradă,"Vârtejeanu Artur, mr.",,11157,1
Bucuresti,Bucuresti,Stradă,Scărlătescu,nr. 1-T,11158,1
Bucuresti,Bucuresti,Stradă,Scărlătescu,nr. 2-T,11159,1
Bucuresti,Bucuresti,Stradă,"Henţia Sava, pictor",nr. 1-T,11161,1
Bucuresti,Bucuresti,Stradă,"Henţia Sava, pictor",nr. 2-T,11162,1
Bucuresti,Bucuresti,Stradă,"Carol Popp de Szathmary, pictor",,11163,1
Bucuresti,Bucuresti,Stradă,"Constantinide Gh., g-ral.",,11164,1
Bucuresti,Bucuresti,Intrare,Cojeşti,,11165,1
Bucuresti,Bucuresti,Intrare,Liteni,,11166,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 29-43,11172,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 45-47,11173,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 49-79,11174,1
Bucuresti,Bucuresti,Stradă,"Felix Iacob, dr.",nr. 71-93,11034,1
Bucuresti,Bucuresti,Stradă,"Felix Iacob, dr.",nr. 52-64,11039,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 1-3,11131,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 5-49,11132,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 51-71,11133,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 2-12,11141,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 14-18,11142,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 20-50,11143,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 52-74,11144,1
Bucuresti,Bucuresti,Intrare,Moraviei,,11147,1
Bucuresti,Bucuresti,Stradă,Lebedei,nr. 1-T,11151,1
Bucuresti,Bucuresti,Stradă,Lebedei,nr. 2-T,11152,1
Bucuresti,Bucuresti,Stradă,Hagi Moscu Maria,,11153,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 115-121,11178,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 123-169,11179,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 171-211,11181,1
Bucuresti,Bucuresti,Stradă,Sibiceanu Costache,nr. 17-T,11512,1
Bucuresti,Bucuresti,Stradă,Sibiceanu Costache,nr. 16-T,11514,1
Bucuresti,Bucuresti,Stradă,Gherghel Paraschiva,nr. 1-T,11531,1
Bucuresti,Bucuresti,Stradă,Gherghel Paraschiva,nr. 2-T,11532,1
Bucuresti,Bucuresti,Stradă,Pleşoianu Elena,,11533,1
Bucuresti,Bucuresti,Stradă,"Zosima Dumitru, ing.",nr. 1-27,11534,1
Bucuresti,Bucuresti,Stradă,"Zosima Dumitru, ing.",nr. 29-59,11535,1
Bucuresti,Bucuresti,Stradă,"Zosima Dumitru, ing.",nr. 61-T,11536,1
Bucuresti,Bucuresti,Stradă,"Zosima Dumitru, ing.",nr. 2-22,11537,1
Bucuresti,Bucuresti,Stradă,"Zosima Dumitru, ing.",nr. 24-44,11538,1
Bucuresti,Bucuresti,Stradă,"Zosima Dumitru, ing.",nr. 46-T,11539,1
